order 0
dt	positionX	positionY
1.5707963267948966	0.45133188940290675	11.56451603840474
0.7853981633974483	-0.5184835468957536	9.191806214023611
0.39269908169872414	-30.872498170784045	-24.620118193244537
0.19634954084936207	-35.36562575000274	-28.239688040689497
0.09817477042468103	97.29382799587206	-18.434721373972817
0.04908738521234052	-1.555431829738749	6.86278611743228
0.02454369260617026	103.96352894681196	119.846638881378
0.01227184630308513	64.73405542664744	79.76375978683843
0.006135923151542565	37.93754696536126	51.96911494681283
0.0030679615757712823	19.355121677446277	32.394056083781386
0.0015339807878856412	-52.028123994221566	-37.87834224694067
0.0007669903939428206	25.35922891241059	38.87015539006706
0.0003834951969714103	-636.8837207239421	-660.2014774847805
0.00019174759848570515	168.50154403174417	190.37924998691338
9.587379924285257E-05	78.6365620585162	95.27312444391158
4.7936899621426287E-05	666.5437269224301	716.2297780717893
2.3968449810713143E-05	114.10851754115333	132.7213636704762
1.1984224905356572E-05	-435.6614419900827	-449.77610342839074
5.992112452678286E-06	94.01548220370931	111.51608835384195
2.996056226339143E-06	3914.688086453332	4142.634144169539
1.4980281131695715E-06	5551.419893545918	5869.512363212076
7.490140565847857E-07	9095.471217386674	9608.755612052817
3.7450702829239286E-07	22643.23286087496	23902.667700069775
1.8725351414619643E-07	1340456.1520007225	1414294.8068925207
9.362675707309822E-08	-11914.847171821631	-12567.873898860369
